Date,Price,Open,High,Low,Vol.,Change %
10/05/2018,27169.7,27858.5,28011.6,27169.7,3.57M,-3.40%
10/08/2018,27552.4,26940.1,27705.4,26710.5,4.11M,1.41%
10/09/2018,27628.9,27628.9,27935.0,27399.3,1.60M,0.28%
10/10/2018,27054.9,27705.4,27705.4,26940.1,2.62M,-2.08%
10/11/2018,25179.8,25332.9,26251.3,25179.8,8.27M,-6.93%
10/12/2018,25868.6,25256.3,26136.5,24491.0,3.35M,2.74%
10/15/2018,24950.2,26021.7,26021.7,24950.2,1.51M,-3.55%
10/16/2018,25639.0,24950.2,25639.0,24950.2,1.98M,2.76%
10/17/2018,26480.9,26021.7,26633.9,25983.4,3.61M,3.28%
10/18/2018,26480.9,26327.8,26901.8,25868.6,4.22M,0.00%
10/19/2018,26480.9,26021.7,26595.7,25868.6,2.53M,0.00%
10/22/2018,26787.0,26787.0,27131.4,26557.4,4.58M,1.16%
10/23/2018,26710.5,26633.9,26940.1,25639.0,4.59M,-0.29%
10/24/2018,24950.2,26710.5,26787.0,24950.2,2.81M,-6.59%
10/25/2018,23878.7,23228.2,24491.0,23228.2,5.78M,-4.29%
10/26/2018,23419.5,24491.0,24720.6,23419.5,2.36M,-1.92%
10/29/2018,22118.4,23343.0,23572.6,22041.9,3.12M,-5.56%
10/30/2018,21123.5,21812.3,22730.7,21123.5,3.95M,-4.50%
10/31/2018,22577.6,21812.3,22577.6,21582.7,2.10M,6.88%
11/01/2018,23228.2,24070.0,24108.3,23189.9,3.74M,2.88%
11/02/2018,24835.4,23725.6,24835.4,23572.6,4.36M,6.92%
11/05/2018,25103.3,24491.0,25103.3,24184.8,2.18M,1.08%
11/06/2018,24491.0,25256.3,25371.1,24376.2,2.31M,-2.44%
11/07/2018,24835.4,24491.0,25141.5,24414.4,2.66M,1.41%
11/08/2018,24835.4,25639.0,25639.0,24797.1,2.17M,0.00%
11/09/2018,24261.4,24644.1,24873.7,24223.1,2.25M,-2.31%
11/12/2018,24644.1,23802.2,24835.4,23802.2,1.68M,1.58%
11/13/2018,23725.6,23955.2,24299.6,23725.6,2.58M,-3.73%
11/14/2018,22960.3,23725.6,24108.3,22960.3,1.90M,-3.23%
11/15/2018,23725.6,22960.3,24337.9,22883.8,1.98M,3.33%
11/16/2018,24644.1,24108.3,24835.4,24108.3,2.94M,3.87%
11/19/2018,24644.1,24644.1,24911.9,24491.0,1.91M,0.00%
11/20/2018,24261.4,24070.0,24491.0,24070.0,1.64M,-1.55%
11/21/2018,24491.0,23878.7,24644.1,23840.4,2.20M,0.95%
11/22/2018,24376.2,24644.1,24835.4,24337.9,2.35M,-0.47%
11/23/2018,24261.4,24337.9,24567.5,24184.8,1.69M,-0.47%
11/26/2018,24223.1,24031.8,24452.7,24031.8,994.73K,-0.16%
11/27/2018,24070.0,24414.4,24491.0,23725.6,1.74M,-0.63%
